frame_id,frame_name,feature_id,keypoint_x,keypoint_y,final_stage,death_cause,survived,localization_successful,detector_score,detector_rank,quantization_error,vocab_word_id,distance_to_word_center,word_boundary_margin,n_candidates,best_match_distance,ratio_test_value,was_sampled_ransac,reprojection_error,final_reprojection_error
0,1305031526.671473.png,0,253.0,204.0,vocab_assigned,no_candidate,False,True,0.3576347529888153,0,0.018558578565716743,0,0.0,0.0,0,inf,0.0,False,inf,inf
0,1305031526.671473.png,1,74.0,274.0,pose_contributor,alive,True,True,0.3280724585056305,1,0.017553729936480522,0,0.0,0.0,1,57.87918472290039,0.5,True,2.544745445251465,2.544745445251465
0,1305031526.671473.png,2,167.0,202.0,vocab_assigned,no_candidate,False,True,0.31712156534194946,2,0.01839778944849968,0,0.0,0.0,0,inf,0.0,False,inf,inf
0,1305031526.671473.png,3,560.0,240.0,pose_contributor,alive,True,True,0.3143330216407776,3,0.018498089164495468,0,0.0,0.0,1,71.61703491210938,0.5,True,4.097284317016602,4.097284317016602
0,1305031526.671473.png,4,383.0,216.0,pose_contributor,alive,True,True,0.3117538094520569,4,0.017003988847136497,0,0.0,0.0,1,55.13619613647461,0.5,True,3.667264461517334,3.667264461517334
0,1305031526.671473.png,5,199.0,172.0,pose_contributor,alive,True,True,0.30427461862564087,5,0.018249917775392532,0,0.0,0.0,1,92.38506317138672,0.5,True,3.942237615585327,3.942237615585327
0,1305031526.671473.png,6,556.0,242.0,pose_contributor,alive,True,True,0.30044838786125183,6,0.018392562866210938,0,0.0,0.0,1,0.0,0.5,True,1.4528160095214844,1.4528160095214844
0,1305031526.671473.png,7,599.0,168.0,vocab_assigned,no_candidate,False,True,0.2949373722076416,7,0.01930042915046215,0,0.0,0.0,0,inf,0.0,False,inf,inf
0,1305031526.671473.png,8,498.0,226.0,pose_contributor,alive,True,True,0.2897076904773712,8,0.01783023029565811,0,0.0,0.0,1,58.52349853515625,0.5,True,3.702268600463867,3.702268600463867
0,1305031526.671473.png,9,63.0,272.0,pose_contributor,alive,True,True,0.2849598824977875,9,0.016992254182696342,0,0.0,0.0,1,0.0,0.5,True,0.6541624069213867,0.6541624069213867
0,1305031526.671473.png,10,442.0,216.0,vocab_assigned,no_candidate,False,True,0.28329533338546753,10,0.020393889397382736,0,0.0,0.0,0,inf,0.0,False,inf,inf
0,1305031526.671473.png,11,546.0,242.0,pose_contributor,alive,True,True,0.2730032503604889,11,0.016368990764021873,0,0.0,0.0,1,102.34255981445312,0.5,True,2.626239061355591,2.626239061355591
0,1305031526.671473.png,12,419.0,131.0,vocab_assigned,no_candidate,False,True,0.26973962783813477,12,0.017001410946249962,0,0.0,0.0,0,inf,0.0,False,inf,inf
0,1305031526.671473.png,13,255.0,352.0,pose_contributor,alive,True,True,0.2662932276725769,13,0.01868068054318428,0,0.0,0.0,1,88.35157012939453,0.5,True,4.561859607696533,4.561859607696533
0,1305031526.671473.png,14,447.0,228.0,vocab_assigned,no_candidate,False,True,0.2655065953731537,14,0.016793666407465935,0,0.0,0.0,0,inf,0.0,False,inf,inf
0,1305031526.671473.png,15,115.0,100.0,vocab_assigned,no_candidate,False,True,0.26514703035354614,15,0.01858087256550789,0,0.0,0.0,0,inf,0.0,False,inf,inf
